id;nazwisko;ulica;telefon;dupa
5873;Sass;Przechodnia;+48 724 078 440;
5874;Bobryk;Mickiewicza;+48 32 539 53 31;
5875;Litwińczuk;Strzelecka;666 386 216;
5876;Kołton;Krótka;22 904 62 48;
5877;Kruszona;Lazurowa;22 541 79 09;
5878;Gryga;Szkolna;536 797 984;
5879;Blank;Kossaka;+48 732 128 249;
5880;Kryza;Dworska;+48 797 360 151;
5881;Starzak;Wojciecha;+48 575 611 671;
5882;Zygmuntowicz;Moniuszki;660 033 113;
5883;Gogacz;Jagiellońska;+48 22 836 89 45;
5884;Olkowicz;Żeglarska;794 720 833;
5885;Wyrwich;Szeroka;720 088 195;
5886;Hermann;Reja;570 820 786;
5887;Siedlarz;Piaskowa;+48 724 571 289;
5888;Dydo;Szkolna;780 584 815;
5889;Pałęga;Kaliska;721 597 742;
5890;Ryfa;Rataja;574 552 333;
5891;Graban;Tęczowa;+48 22 784 05 29;
5892;Cylwik;Owocowa;+48 607 186 982;
5893;Bek;Brzoskwiniowa;+48 694 023 765;
5894;Blaut;Jarzębinowa;797 895 516;
5895;Murach;Żabia;571 020 182;
5896;Witkowicz;Brzozowa;723 142 302;
5897;Leszczuk;Orkana;780 588 467;
5898;Mila;Podmiejska;886 700 786;
5899;Oczkowicz;Wesoła;570 658 193;
5900;Gryka;Konopnickiej;535 703 225;
5901;Wyskiel;Górska;+48 22 099 82 33;
5902;Siwczak;Ptasia;+48 786 845 112;
5903;Sołoducha;Floriana;513 096 070;
5904;Milcarz;Lipowa;+48 32 671 62 30;
5905;Kuza;Wąska;511 044 721;
5906;Kabala;Jeżynowa;732 686 441;
5907;Płocharczyk;Storczykowa;32 311 06 16;
5908;Bekus;Orkana;+48 720 879 198;
5909;Duszczak;Modrzewiowa;606 423 001;
5910;Lipok;Moniuszki;+48 784 450 701;
5911;Groth;Odrzańska;32 805 80 47;
5912;Szczepan;Irysowa;+48 733 572 221;
5913;Hinca;Willowa;+48 739 713 916;
5914;Kiciak;Miłosza;538 816 867;
5915;Samoraj;Willowa;+48 733 674 091;
5916;Troć;Średnia;32 626 13 01;
5917;Gabryelczyk;Konarskiego;664 447 700;
5918;Myrcha;Niepodległości;538 612 892;
5919;Krauza;Wiatraczna;+48 791 034 329;
5920;Augustynek;Gołębia;790 767 670;
5921;Mieszała;Liliowa;+48 519 392 393;
5922;Portka;Tuwima;664 730 924;
5923;Kordus;Okrężna;732 192 367;
5924;Naumiuk;Żurawia;22 628 58 21;
5925;Piekara;Piaskowa;+48 600 345 682;
5926;Kubasiewicz;Prosta;601 586 204;
5927;Petryk;Staffa;535 364 340;
5928;Misztela;Maja;731 385 807;
5929;Michnowicz;Słoneczna;32 644 02 17;
5930;Kucharz;Maczka;+48 570 819 772;
5931;Wosiak;Pułaskiego;575 231 988;
5932;Wardziak;Kościuszki;+48 32 144 82 06;
5933;Mik;Skłodowskiej-Curie;22 009 94 57;
5934;Bodek;Zielna;+48 734 280 453;
5935;Kowalak;Kościelna;+48 735 488 215;
5936;Łuszczak;Wysoka;515 288 591;
5937;Smykała;Modrzewiowa;530 621 694;
5938;Szkaradek;Wilcza;+48 721 916 113;
5939;Potęga;Daleka;669 190 249;
5940;Kenig;Reymonta;+48 22 074 03 92;
5941;Skubis;Tysiąclecia;+48 728 970 421;
5942;Golisz;Nowowiejska;+48 782 800 109;
5943;Drobik;Nowowiejska;+48 887 514 498;
5944;Paleń;Parkowa;608 715 166;
5945;Szymocha;Jana III Sobieskiego;518 693 958;
5946;Błądek;Reja;+48 503 569 107;
5947;Anders;Bema;+48 725 211 210;
5948;Ciak;Urocza;+48 536 999 081;
5949;Zinkiewicz;Opolska;32 175 44 24;
5950;Zaraś;Jałowcowa;512 003 417;
5951;Podsiadła;Jasna;538 853 182;
5952;Parkitna;Wolności;+48 694 253 082;
5953;Hutyra;Rajska;+48 737 864 864;
5954;Masłoń;Wyzwolenia;+48 32 111 67 33;
5955;Klekot;Daszyńskiego;32 235 63 86;
5956;Matula;Dobra;667 579 303;
5957;Fura;Lelewela;535 805 379;
5958;Nastały;Brzechwy;+48 32 654 41 22;
5959;Frycz;Żytnia;537 303 126;
5960;Dyrek;Błękitna;22 868 08 58;
5961;Jajko;Jasna;32 647 31 37;
5962;Idec;Jana III Sobieskiego;+48 784 201 900;
5963;Trepka;Lipowa;+48 736 471 772;
5964;Siedlarz;Błękitna;+48 736 097 115;
5965;Dylak;Promienna;884 201 982;
5966;Kramer;Powstańców Wielkopolskich;+48 510 127 523;
5967;Bandyk;Powstańców;780 536 257;
5968;Fiedler;Zamkowa;+48 692 215 832;
5969;Nieścior;Wieniawskiego;510 327 382;
5970;Kulisz;Turkusowa;734 723 099;
5971;Morgała;Mickiewicza;+48 883 894 110;
5972;Bejnarowicz;Pogodna;+48 661 961 799;
5973;Langier;Pałacowa;793 920 586;
5974;Palonek;Okrzei;+48 514 035 965;
5975;Kośnik;Leśna;+48 509 288 315;
5976;Foremniak;Konwaliowa;+48 690 145 027;
5977;Osipiuk;Browarna;+48 785 614 070;
5978;Laszkiewicz;Ogrodowa;+48 22 176 45 63;
5979;Koterba;Brzozowa;506 780 658;
5980;Rysz;Jagiellońska;784 833 840;
5981;Hewelt;Szafirowa;+48 512 697 519;
5982;Droś;Słowicza;885 786 064;
5983;Hanzel;Perłowa;729 979 244;
5984;Bryja;Żurawia;32 286 51 70;
5985;Piórek;Sybiraków;531 917 697;
5986;Wolańczyk;Wodna;32 280 30 70;
5987;Janke;Irysowa;+48 500 990 838;
5988;Ekert;Pałacowa;+48 785 565 792;
5989;Chruszcz;Majowa;570 351 020;
5990;Hamerla;Szymanowskiego;+48 795 498 578;
5991;Wylegała;Sowia;+48 661 737 416;
5992;Strządała;Piłsudskiego;664 092 417;
5993;Senator;Rózana;513 195 295;
5994;Bruś;Lelewela;789 549 152;
5995;Witaszek;Jadwigi;22 565 36 64;
5996;Gajcy;Słoneczna;+48 512 112 623;
5997;Mikołajewicz;Staffa;536 940 110;
5998;Posłuszna;Fabryczna;666 592 405;
5999;Małyszka;Korfantego;666 254 872;
6000;Sady;Rajska;+48 882 513 091;
6001;Lepka;Gałczynskiego;+48 695 557 009;
6002;Gordon;Kolorowa;+48 532 231 875;
6003;Kupś;Księżycowa;538 658 440;
6004;Smyl;Klonowa;+48 790 437 570;
6005;Łuczka;Żeromskiego;+48 722 516 939;
6006;Dydo;Chopina;508 803 629;
6007;Tabisz;Słoneczna;889 312 724;
6008;Kaliciak;Lipowa;736 670 174;
6009;Stypa;Jana Pawła II;+48 606 461 274;
6010;Mazanek;Diamentowa;+48 697 344 903;
6011;Szpyt;Bydgoska;+48 883 150 956;
6012;Majnusz;Wąska;+48 724 685 277;
6013;Schwarz;Krańcowa;+48 780 624 578;
6014;Pabiś;Listopada;697 234 504;
6015;Jędral;Agrestowa;+48 699 310 516;
6016;Bałdys;Jarzębinowa;+48 799 450 588;
6017;Olszyna;Krakowska;+48 690 328 399;
6018;Konstanty;Mokra;32 265 13 09;
6019;Postawa;Olchowa;888 914 448;
6020;Pospiech;Wczasowa;22 226 08 56;
6021;Zaraś;Średnia;+48 885 179 069;
6022;Giezek;Szkolna;32 654 62 39;
6023;Budkiewicz;Kilińskiego;501 521 001;
6024;Stąpór;Liliowa;518 523 186;
6025;Bogusiewicz;Bursztynowa;+48 500 166 604;
6026;Kapinos;Zielona;508 886 645;
6027;Sasak;Leśna;792 309 390;
6028;Meissner;Chopina;22 490 63 83;
6029;Rasała;Baczynskiego;731 803 118;
6030;Dworczak;Chmielna;691 845 087;
6031;Sobolak;Gałczynskiego;+48 723 018 794;
6032;Misiejuk;Orzeszkowej;+48 519 277 057;
6033;Miśko;Rzeczna;511 564 081;
6034;Piegza;Przemysłowa;+48 518 781 929;
6035;Engel;Zielona;+48 571 919 155;
6036;Ćwirko;Zacisze;576 752 440;
6037;Pruchnik;Strumykowa;32 242 54 03;
6038;Duc;Kowalska;503 811 539;
6039;Szeszko;Boczna;514 936 846;
6040;Bastek;Przechodnia;+48 604 000 258;
6041;Chlebda;Cyprysowa;+48 32 855 04 28;
6042;Litwiniuk;Konarskiego;732 269 203;
6043;Bąbol;Wyszyńskiego;784 437 000;
6044;Małota;Górska;+48 32 003 17 31;
6045;Mikołajewicz;Cmentarna;+48 517 344 425;
6046;Obuchowicz;Tylna;790 123 515;
6047;Pleskot;Spokojna;32 532 52 13;
6048;Preś;Starowiejska;+48 510 015 738;
6049;Holc;Szymanowskiego;574 172 389;
6050;Mortka;Wiejska;+48 505 994 265;
6051;Gawliczek;Piekarska;+48 796 264 260;
6052;Drost;Bociania;576 543 124;
6053;Świć;Boczna;+48 789 722 519;
6054;Garncarz;Jodłowa;539 994 006;
6055;Zackiewicz;Makuszyńskiego;+48 795 728 549;
6056;Kudlak;Jana Sobieskiego;+48 669 683 589;
6057;Miętka;Niecała;578 151 502;
6058;Gąsienica;Kamienna;783 357 970;
6059;Wiszowaty;Cisowa;+48 504 080 432;
6060;Lew;Rybacka;505 864 119;
6061;Ogrodowicz;Stycznia;+48 608 951 300;
6062;Powałka;Jesionowa;+48 517 246 959;
6063;Parzyszek;Zamkowa;+48 884 636 061;
6064;Sapa;Zachodnia;728 025 941;
6065;Topa;Partyzantów;665 089 701;
6066;Gierasimiuk;Krasickiego;737 164 439;
6067;Dubel;Kruczkowskiego;510 325 001;
6068;Opas;Porzeczkowa;888 966 126;
6069;Gronostaj;Prusa;+48 516 097 904;
6070;Ciarka;Ptasia;+48 510 439 208;
6071;Wesoły;Stycznia;530 815 758;
6072;Mleczak;Ogrodowa;797 992 496;
6073;Kurach;Irysowa;+48 609 284 297;
6074;Samoraj;Śląska;504 377 333;
6075;Worach;Słowackiego;22 478 27 15;
6076;Drobnik;Żurawia;537 300 422;
6077;Habdas;Bałtycka;+48 781 966 039;
6078;Bereś;Konstytucji 3 Maja;694 945 464;
6079;Siemion;Spacerowa;+48 22 043 21 77;
6080;Prostak;Łączna;+48 885 691 323;
6081;Kościelak;Rejtana;+48 797 100 717;
6082;Prawdzik;Handlowa;32 264 16 58;
6083;Mydlarz;Jaworowa;609 853 863;
6084;Strzępek;Opolska;+48 663 243 295;
6085;Osipowicz;Zapolskiej;728 255 117;
6086;Józwik;Jaworowa;+48 781 612 848;
6087;Kultys;Kasprowicza;698 487 726;
6088;Dycha;Łąkowa;514 212 120;
6089;Misiarz;Wiklinowa;794 918 990;
6090;Kryszczuk;Wojciecha;531 202 800;
6091;Zawal;Irysowa;575 359 481;
6092;Lisak;Wrocławska;+48 503 506 894;
6093;Cąkała;Kamienna;+48 532 940 528;
6094;Kubiaczyk;Sienkiewicza;791 141 963;
6095;Kręgiel;Jagiellońska;+48 511 038 744;
6096;Hałka;Zapolskiej;22 714 28 77;
6097;Kurant;Krakowska;728 828 461;
6098;Więcławek;Bursztynowa;+48 786 045 119;
6099;Zacharczuk;Żwirki i Wigury;32 793 40 99;
6100;Warwas;Pałacowa;32 941 85 52;
6101;Dytko;Stawowa;+48 797 330 661;
6102;Jaroszuk;Baczynskiego;782 322 093;
6103;Czura;Kilińskiego;32 772 29 20;
6104;Kuziora;Grzybowa;504 671 657;
6105;Kastelik;Bolesława Chrobrego;+48 533 903 203;
6106;Witos;Morska;+48 787 100 594;
6107;Syroka;Klasztorna;885 972 384;
6108;Maras;Skośna;889 500 174;
6109;Klaus;Storczykowa;514 979 270;
6110;Makar;Opolska;+48 727 438 927;
6111;Stiller;Krasickiego;696 874 700;
6112;Ostręga;Jana Pawła II;535 219 500;
6113;Zontek;Paderewskiego;32 563 00 48;
6114;Wilkos;Staszica;+48 691 721 764;
6115;Haremza;Batalionów Chłopskich;511 103 066;
6116;Rakus;Zielona;+48 669 446 973;
6117;Dyka;Ciasna;+48 782 936 431;
6118;Bazela;Browarna;+48 505 162 264;
6119;Krekora;Jadwigi;518 671 450;
6120;Budner;Złota;668 063 578;
6121;Pałęga;Odrzańska;+48 724 547 257;
6122;Czenczek;Pszenna;502 774 359;
6123;Michnik;Parkowa;880 371 928;
6124;Tomaszuk;Szmaragdowa;+48 692 376 821;
6125;Kuboń;Dobra;+48 664 224 594;
6126;Fudalej;Modrzewiowa;+48 780 048 571;
6127;Banyś;Turkusowa;+48 733 143 425;
6128;Szymała;Perłowa;606 035 255;
6129;Miozga;Morelowa;782 504 198;
6130;Fiedler;Zamkowa;32 881 61 41;
6131;Fołta;Willowa;519 893 988;
6132;Urynowicz;Turystyczna;721 788 499;
6133;Mierzwiak;Żeglarska;789 803 498;
6134;Jośko;Okulickiego;+48 517 437 860;
6135;Górkiewicz;Wysoka;+48 792 725 980;
6136;Kaszkowiak;Kazimierza Wielkiego;797 126 915;
6137;Wiech;Sawickiej;+48 508 177 786;
6138;Skalik;Cedrowa;600 050 515;
6139;Dyja;Jodłowa;+48 786 383 127;
6140;Kościelak;Lazurowa;791 635 171;
6141;Mieloch;Podmiejska;786 845 114;
6142;Rejniak;Jadwigi;602 780 123;
6143;Mrózek;Słowicza;+48 731 555 502;
6144;Pietrasiak;Wilcza;792 487 909;
6145;Jambor;Dębowa;729 828 823;
6146;Kwinta;Żeglarska;+48 797 940 252;
6147;Rębiś;Akacjowa;733 565 417;
6148;Kujda;Wodna;+48 736 705 103;
6149;Peszko;Boczna;606 662 857;
6150;Golak;Kalinowa;504 686 431;
6151;Korda;Staffa;+48 574 659 951;
6152;Zyga;Kopernika;+48 32 128 60 06;
6153;Dłubak;Cicha;+48 738 149 344;
6154;Surdyk;Lotnicza;+48 515 342 879;
6155;Migała;Dolna;+48 603 240 152;
6156;Ułanowicz;Żeglarska;505 413 509;
6157;Hojka;Odrzańska;794 832 490;
6158;Fronia;Wieniawskiego;724 260 590;
6159;Balas;Miłosza;692 782 230;
6160;Dorna;Gołębia;606 548 170;
6161;Sawko;Truskawkowa;+48 664 075 601;
6162;Szambelan;Fabryczna;789 162 431;
6163;Suszka;Piękna;724 343 979;
6164;Haraburda;Wspólna;+48 604 910 341;
6165;Solarek;Słoneczna;+48 796 925 176;
6166;Bobel;Długosza;665 155 248;
6167;Garczyk;Wojska Polskiego;660 980 140;
6168;Kasiak;Krakowska;+48 789 479 054;
6169;Białczyk;Wodna;+48 733 414 710;
6170;Zięcik;Klasztorna;503 143 212;
6171;Mądrzak;Żytnia;794 138 743;
6172;Bzdęga;Glówna;32 585 54 96;
6173;Cebo;Widok;+48 723 830 652;
6174;Miara;Kusocińskiego;+48 514 722 843;
6175;Zander;Lipowa;791 283 660;
6176;Jaźwiec;Grottgera;+48 794 192 847;
6177;Aleksander;Cmentarna;+48 796 333 125;
6178;Świątkiewicz;Wiosenna;+48 690 544 506;
6179;Engler;Brzoskwiniowa;883 990 311;
6180;Posłuszny;Reja;575 382 582;
6181;Rozmiarek;Rataja;578 906 527;
6182;Pawlukiewicz;Maja;+48 733 632 812;
6183;Trybała;Klasztorna;796 296 856;
6184;Pych;Wyzwolenia;+48 22 875 08 51;
6185;Cofała;Wysoka;+48 720 975 223;
6186;Ładziak;Mazurska;+48 727 528 626;
6187;Karmelita;Górska;883 122 891;
6188;Lica;Partyzantów;511 121 289;
6189;Sprawka;Storczykowa;788 899 141;
6190;Denkiewicz;Fredry;+48 577 492 622;
6191;Block;Jagodowa;663 083 656;
6192;Daraż;Waryńskiego;+48 697 801 803;
6193;Nalazek;Mostowa;+48 510 652 697;
6194;Buś;Tartaczna;885 057 756;
6195;Buksa;Piłsudskiego;533 517 122;
6196;Wichary;Świerczewskiego;722 701 161;
6197;Bernard;Chabrowa;+48 885 749 510;
6198;Mosiołek;Strzelecka;696 648 995;
6199;Patoła;Bociania;516 061 581;
6200;Heba;Cedrowa;781 253 006;
6201;Pietrewicz;Szczęśliwa;729 130 665;
6202;Dynak;Zachodnia;513 947 841;
6203;Jarczyk;Nadrzeczna;+48 728 687 914;
6204;Leszczyk;Górska;+48 787 184 557;
6205;Bortkiewicz;Zielna;+48 734 254 745;
6206;Babiuch;Korczaka;+48 781 095 881;
6207;Mądrzyk;Niepodległości;887 200 894;
6208;Łukasiuk;Pałacowa;509 745 231;
6209;Waniek;Kasztanowa;695 884 780;
6210;Trznadel;Krakowska;22 000 13 10;
6211;Kozar;Armii Krajowej;661 971 215;
6212;Radzewicz;Nałkowskiej;+48 780 086 997;
6213;Warych;Zacisze;32 833 81 48;
6214;Kunert;Mazowiecka;+48 884 094 379;
6215;Broniarek;Górnicza;+48 509 582 582;
6216;Duchnik;Księżycowa;+48 663 804 593;
6217;Anders;Glówna;+48 32 348 18 16;
6218;Kinal;Zamkowa;506 151 229;
6219;Kara;Letnia;+48 884 687 161;
6220;Leoniuk;Listopada;530 860 169;
6221;Wawrzeńczyk;Władysława Jagiełły;+48 889 629 005;
6222;Glazik;Podwale;793 593 634;
6223;Kocurek;Wysoka;732 147 950;
6224;Antoszczyk;Sucharskiego;506 543 387;
6225;Barteczko;Torowa;889 120 812;
6226;Sypień;Maczka;+48 530 595 650;
6227;Goś;Krótka;515 356 715;
6228;Łachacz;Gałczynskiego;+48 735 326 425;
6229;Namysło;Lwowska;+48 799 930 132;
6230;Mydlarz;Rybacka;880 607 403;
6231;Cyba;Wiatraczna;503 302 488;
6232;Kopyt;Konwaliowa;793 499 718;
6233;Zębik;Poziomkowa;519 773 039;
6234;Smoczyk;Brzozowa;577 823 335;
6235;Stanisławek;Bałtycka;+48 530 839 512;
6236;Jeżyna;Cmentarna;+48 797 076 147;
6237;Szczerek;Kolejowa;22 368 11 24;
6238;Rozum;Górnicza;+48 665 152 412;
6239;Wichary;Radosna;794 971 680;
6240;Pochopień;Konwaliowa;+48 32 244 72 40;
6241;Kik;Akacjowa;530 942 767;
6242;Wisz;Konarskiego;694 045 582;
6243;Kasica;Morska;784 452 960;
6244;Ostafin;Jana Pawła II;+48 721 880 827;
6245;Thomas;Sybiraków;+48 22 540 68 20;
6246;Szwaja;Liliowa;505 986 632;
6247;Baster;Traugutta;+48 721 418 334;
6248;Wołodźko;Nowowiejska;32 008 47 44;
6249;Goral;Podleśna;514 561 590;
6250;Durlej;Żwirki i Wigury;888 334 176;
6251;Drewa;Wypoczynkowa;+48 511 077 799;
6252;Litwa;Bankowa;+48 696 955 174;
6253;Lesisz;Osiedlowa;+48 606 791 411;
6254;Nieszporek;Tartaczna;+48 695 058 332;
6255;Penkala;Słowackiego;+48 513 487 517;
6256;Szarzec;Zielona;+48 501 839 423;
6257;Pietrus;Brzechwy;781 964 409;
6258;Ludwisiak;Nałkowskiej;+48 32 926 92 55;
6259;Hutyra;Kochanowskiego;518 721 615;
6260;Siembab;Jeziorna;+48 508 162 135;
6261;Kalka;Gołębia;668 287 963;
6262;Kurnik;Lelewela;532 913 328;
6263;Kubaczyk;Lipca;539 295 203;
6264;Bas;Wybickiego;727 495 620;
6265;Burnat;Nadrzeczna;+48 576 235 661;
6266;Świadek;Powstańców Śląskich;32 243 06 08;
6267;Michnowicz;Stroma;+48 720 673 184;
6268;Stanuch;Nadrzeczna;+48 668 023 218;
6269;Kucewicz;Handlowa;+48 693 057 193;
6270;Karłowicz;Malczewskiego;+48 667 654 592;
6271;Cherek;Witosa;+48 32 246 39 65;
6272;Litwiniuk;Jana Sobieskiego;501 384 106;
6273;Cichos;Cicha;+48 571 172 667;
6274;Wawszczak;Spółdzielcza;22 650 56 87;
6275;Jasina;Zakątek;889 884 564;
6276;Gągała;Jeżynowa;509 887 308;
6277;Kopyto;Wodna;787 004 178;
6278;Mrozowicz;Lubelska;731 837 229;
6279;Groń;Księżycowa;502 181 704;
6280;Kryszczuk;Grunwaldzka;517 694 796;
6281;Suda;Perłowa;32 857 42 34;
6282;Dziopa;Szeroka;+48 722 625 711;
6283;Furga;Malczewskiego;+48 692 956 710;
6284;Ochnio;Południowa;+48 609 558 265;
6285;Wydrych;Morelowa;+48 668 533 422;
6286;Gogół;Wrocławska;500 366 035;
6287;Kunc;Żeglarska;32 798 40 78;
6288;Ślęczka;Kościuszki;+48 696 659 181;
6289;Lizoń;Jagodowa;+48 512 700 190;
6290;Subocz;Cyprysowa;519 005 606;
6291;Fidura;Krucza;578 788 273;
6292;Banek;Złota;734 715 227;
6293;Pracz;Żurawia;787 136 417;
6294;Klus;Rajska;+48 735 598 062;
6295;Ławniczek;Podwale;22 361 71 96;
6296;Czerwionka;Wolności;+48 791 010 865;
6297;Minta;Lelewela;531 734 893;
6298;Uss;Orzechowa;734 121 366;
6299;Sulich;Młynarska;+48 782 249 814;
6300;Petrus;Letniskowa;735 505 465;
6301;Kazubek;Żytnia;512 872 047;
6302;Łyjak;Księżycowa;22 822 93 14;
6303;Mućko;Liliowa;+48 739 869 564;
6304;Szczubełek;Rózana;+48 886 950 909;
6305;Stuglik;Czarnieckiego;736 283 096;
6306;Jakoniuk;Targowa;22 043 51 72;
6307;Liśkiewicz;Willowa;+48 508 534 831;
6308;Hrynkiewicz;Koralowa;883 396 838;
6309;Morgała;Zacisze;+48 795 931 933;
6310;Płodzień;Wojska Polskiego;+48 501 658 177;
6311;Rasała;Wesoła;+48 578 068 399;
6312;Juśkiewicz;Lipca;503 528 425;
6313;Buława;Strzelecka;+48 662 914 607;
6314;Wszoła;Rataja;+48 790 321 758;
6315;Rajman;Majowa;+48 535 928 326;
6316;Miśkowiec;Czereśniowa;+48 887 306 343;
6317;Szczypek;Daszyńskiego;602 752 761;
6318;Rzucidło;Bociania;32 943 77 68;
6319;Tuzimek;Wojciecha;+48 538 135 260;
6320;Bruzda;Długosza;+48 721 220 029;
6321;Romankiewicz;Ptasia;+48 882 369 364;
6322;Zdobylak;Krucza;32 518 12 58;
6323;Kosno;Wiosenna;697 727 563;
6324;Malon;Gdańska;+48 884 506 166;
6325;Ważna;Gałczynskiego;+48 725 762 643;
6326;Jachna;Strzelecka;32 963 84 15;
6327;Bracha;Cegielniana;32 916 97 89;
6328;Lesner;Szpitalna;732 694 179;
6329;Stoltmann;Truskawkowa;32 112 35 57;
6330;Pituła;Wróblewskiego;+48 882 885 964;
6331;Balik;Reymonta;731 214 966;
6332;Kliszcz;Łąkowa;32 356 51 95;
6333;Kaczmarkiewicz;Batalionów Chłopskich;+48 738 083 683;
6334;Czenczek;Kossaka;509 289 606;
6335;Kuświk;Długosza;+48 782 756 360;
6336;Wojtaszczyk;Jodłowa;503 523 488;
6337;Gabrych;Kwiatowa;+48 781 763 826;
6338;Krüger;Stroma;+48 794 862 763;
6339;Ostafin;Przechodnia;886 869 730;
6340;Pietrek;Fabryczna;722 165 178;
6341;Rymarz;Wypoczynkowa;729 622 559;
6342;Stępak;Dojazdowa;789 342 121;
6343;Kobos;Harcerska;+48 883 228 661;
6344;Mazik;Skłodowskiej-Curie;576 994 700;
6345;Stój;Zielona;888 793 425;
6346;Głownia;Witosa;+48 572 044 365;
6347;Augustynek;Zaułek;608 129 609;
6348;Musiała;Solidarnosci;735 425 176;
6349;Mszyca;Fredry;+48 664 269 300;
6350;Niebudek;Korczaka;+48 790 258 901;
6351;Kubasiak;Pogodna;+48 723 046 927;
6352;Gortat;Irysowa;530 193 187;
6353;Morcinek;Nowowiejska;+48 500 771 713;
6354;Suchenek;Zwycięstwa;+48 513 009 598;
6355;Smoczyk;Władysława Jagiełły;32 810 44 13;
6356;Kucharzyk;Piaskowa;32 235 90 85;
6357;Kosman;Asnyka;507 565 083;
6358;Trybała;Zdrojowa;885 581 241;
6359;Kukieła;Dolna;+48 668 190 633;
6360;Kołtuniak;Pocztowa;+48 693 259 254;
6361;Dyszy;Waryńskiego;+48 690 320 040;
6362;Wykręt;Orkana;505 808 933;
6363;Chaber;Jeziorna;+48 732 716 965;
6364;Myk;Wyszyńskiego;664 688 247;
6365;Wolan;Pocztowa;+48 537 824 848;
6366;Front;Wysoka;22 641 38 30;
6367;Cebo;Zdrojowa;573 295 561;
6368;Humeniuk;Sadowa;786 507 870;
6369;Radzewicz;Leśna;519 669 135;
6370;Wiaderek;Polna;794 390 451;
6371;Graban;Paderewskiego;+48 22 602 15 87;
6372;Durma;Modrzewiowa;662 951 611;
6373;Konsek;Niecała;+48 797 444 822;
6374;Szymaniuk;Orzeszkowej;+48 726 968 686;
6375;Klisz;Głogowa;+48 690 653 431;
6376;Serwach;Urocza;+48 884 973 074;
6377;Maćczak;Zapolskiej;795 554 262;
6378;Grygorowicz;Widokowa;+48 667 679 228;
6379;Lula;Lelewela;734 775 254;
6380;Dybał;Topolowa;783 059 149;
6381;Garncarz;Pałacowa;+48 538 283 796;
6382;Jaracz;Poznańska;696 756 128;
6383;Apanowicz;Perłowa;577 832 011;
6384;Tekiela;Zakole;575 113 693;
6385;Gałęza;Nowowiejska;+48 600 473 511;
6386;Celuch;Jagiellońska;+48 609 179 847;
6387;Linda;Srebrna;728 725 680;
6388;Kujda;Żabia;+48 607 291 031;
6389;Seweryniak;Stawowa;530 908 095;
6390;Kajdan;Jaworowa;+48 883 674 297;
6391;Maksym;Sawickiej;+48 661 189 164;
6392;Olko;Podleśna;798 501 096;
6393;Piaścik;Makowa;+48 784 525 936;
6394;Pałyga;Sienkiewicza;+48 32 854 39 31;
6395;Albin;Torowa;+48 605 445 682;
6396;Majtczak;Czereśniowa;+48 887 400 105;
6397;Roczniak;Rajska;+48 696 359 487;
6398;Raczkiewicz;Prosta;601 577 207;
6399;Związek;Sosnowa;+48 722 564 738;
6400;Skutnik;Chopina;+48 795 770 474;
6401;Garczarek;Leszczynowa;22 506 17 52;
6402;Smolka;Nowowiejska;+48 881 684 038;
6403;Rajczyk;Modrzewiowa;734 051 193;
6404;Ambrożewicz;Rajska;609 694 983;
6405;Malesza;Młynarska;889 472 674;
6406;Różak;Miła;+48 508 324 841;
6407;Opyrchał;Księżycowa;500 628 082;
6408;Maraszek;Bolesława Chrobrego;534 791 398;
6409;Mieloch;Jana Sobieskiego;+48 22 516 71 45;
6410;Szela;Niepodległości;724 652 047;
6411;Konsek;Wiślana;22 481 20 25;
6412;Jaroch;Spółdzielcza;32 162 86 30;
6413;Hynek;Radosna;786 454 892;
6414;Wyderka;Parkowa;+48 783 089 861;
6415;Andrzejuk;Zamkowa;723 915 017;
6416;Han;Matejki;+48 607 466 208;
6417;Jakubiuk;Srebrna;+48 787 329 905;
6418;Opalach;Mazowiecka;882 676 733;
6419;Klinger;Fabryczna;608 025 899;
6420;Kruś;Norwida;+48 884 188 849;
6421;Hallmann;Ceglana;+48 732 846 259;
6422;Bazela;Zielna;513 429 306;
6423;Dumała;Jana III Sobieskiego;511 801 224;
6424;Mroczko;Wrzosowa;+48 533 744 290;
6425;Robaszkiewicz;Żeromskiego;+48 22 935 05 03;
6426;Wandas;Paderewskiego;720 903 346;
6427;Szczap;Plater;+48 508 569 122;
6428;Grzela;Niecała;+48 511 226 642;
6429;Bejm;Zacisze;883 075 231;
6430;Kazimierczuk;Pocztowa;22 886 81 31;
6431;Myk;Malinowa;+48 662 158 447;
6432;Zagozda;Krótka;+48 501 301 337;
6433;Bronka;Polna;+48 791 809 883;
6434;Pokusa;Lwowska;+48 695 486 701;
6435;Padło;Krótka;+48 735 566 197;
6436;Bittner;Złota;514 531 552;
6437;Karsznia;Borowa;+48 795 978 325;
6438;Minta;Myśliwska;662 209 428;
6439;Wacławczyk;Warszawska;+48 793 521 719;
6440;Jajko;Wrzosowa;+48 788 530 590;
6441;Kapciak;Powstańców Wielkopolskich;+48 696 300 540;
6442;Leśny;Osiedlowa;+48 576 920 402;
6443;Materka;Hutnicza;537 683 425;
6444;Ogrodowicz;Przechodnia;576 707 482;
6445;Chlipała;Dąbrowskiego;789 858 535;
6446;Kut;Stolarska;32 539 67 21;
6447;Bittner;Jaworowa;722 702 674;
6448;Darul;Brzozowa;+48 792 399 913;
6449;Korniak;Nadrzeczna;+48 500 311 848;
6450;Jędrys;Narutowicza;698 558 708;
